date,bet_type,home,away,team_abbrev,americanOdds,decimalOdds,stakePCT,wagerPCT,PLUS_MINUS,Total,spread,WIN-LOSS-PUSH
2023-10-30,SPREAD,MEM,DAL,MEM,-110.0,1.91,29.39,27.48,-15.0,235.0,-1.5,0.0
2023-10-30,SPREAD,DEN,UTA,UTA,-110.0,1.91,23.31,29.86,-8.0,212.0,8.5,1.0
2023-10-30,SPREAD,DEN,UTA,DEN,-110.0,1.91,76.69,70.14,8.0,212.0,-8.5,0.0
2023-10-30,SPREAD,LAL,ORL,ORL,-105.0,1.95,35.36,36.96,-3.0,209.0,3.5,1.0
2023-10-30,SPREAD,LAL,ORL,LAL,-115.0,1.87,64.64,63.04,3.0,209.0,-3.5,0.0
2023-10-31,SPREAD,CLE,NYK,NYK,-115.0,1.87,60.36,56.45,18.0,200.0,-1.5,1.0
2023-10-31,SPREAD,CLE,NYK,CLE,-105.0,1.95,39.64,43.55,-18.0,200.0,1.5,0.0
2023-10-31,SPREAD,PHX,SAS,SAS,-105.0,1.95,20.35,17.49,1.0,229.0,6.5,1.0
2023-10-31,SPREAD,PHX,SAS,PHX,-115.0,1.87,79.65,82.51,-1.0,229.0,-6.5,0.0
2023-10-31,SPREAD,LAC,ORL,ORL,-110.0,1.91,41.21,43.26,-16.0,220.0,6.5,0.0
2023-10-31,SPREAD,LAC,ORL,LAC,-110.0,1.91,58.79,56.74,16.0,220.0,-6.5,1.0
2023-11-01,SPREAD,DET,POR,POR,-115.0,1.87,33.07,38.12,9.0,211.0,3.5,1.0
2023-11-01,SPREAD,DET,POR,DET,-105.0,1.95,66.93,61.88,-9.0,211.0,-3.5,0.0
2023-11-01,SPREAD,TOR,MIL,MIL,-105.0,1.95,68.14,62.9,-19.0,241.0,-4.5,0.0
2023-11-01,SPREAD,TOR,MIL,TOR,-115.0,1.87,31.86,37.1,19.0,241.0,4.5,1.0
2023-11-01,SPREAD,ATL,WAS,WAS,-110.0,1.91,34.57,57.62,-9.0,251.0,9.5,1.0
2023-11-01,SPREAD,ATL,WAS,ATL,-110.0,1.91,65.43,42.38,9.0,251.0,-9.5,0.0
2023-11-01,SPREAD,BOS,IND,IND,-115.0,1.87,37.66,52.24,-51.0,259.0,13.5,0.0
2023-11-01,SPREAD,BOS,IND,BOS,-105.0,1.95,62.34,47.76,51.0,259.0,-13.5,1.0
2023-11-01,SPREAD,MIA,BKN,BKN,-115.0,1.87,68.73,86.78,4.0,214.0,7.5,1.0
2023-11-01,SPREAD,MIA,BKN,MIA,-105.0,1.95,31.27,13.22,-4.0,214.0,-7.5,0.0
2023-11-01,SPREAD,NYK,CLE,CLE,-110.0,1.91,64.08,58.6,6.0,184.0,5.5,1.0
2023-11-01,SPREAD,NYK,CLE,NYK,-110.0,1.91,35.92,41.4,-6.0,184.0,-5.5,0.0
2023-11-01,SPREAD,OKC,NOP,NOP,-110.0,1.91,40.21,33.34,4.0,216.0,3.5,1.0
2023-11-01,SPREAD,OKC,NOP,OKC,-110.0,1.91,59.79,66.66,-4.0,216.0,-3.5,0.0
2023-11-01,SPREAD,HOU,CHA,CHA,-105.0,1.95,48.55,71.31,-9.0,247.0,2.5,0.0
2023-11-01,SPREAD,HOU,CHA,HOU,-115.0,1.87,51.45,28.69,9.0,247.0,-2.5,1.0
2023-11-01,SPREAD,MIN,DEN,DEN,-115.0,1.87,71.86,77.37,-21.0,199.0,-1.5,0.0
2023-11-01,SPREAD,MIN,DEN,MIN,-105.0,1.95,28.14,22.63,21.0,199.0,1.5,1.0
2023-11-01,SPREAD,DAL,CHI,CHI,-110.0,1.91,,,-9.0,219.0,3.5,0.0
2023-11-01,SPREAD,DAL,CHI,DAL,-110.0,1.91,,,9.0,219.0,-3.5,1.0
2023-11-01,SPREAD,UTA,MEM,MEM,-105.0,1.95,50.19,56.3,-24.0,242.0,1.5,0.0
2023-11-01,SPREAD,UTA,MEM,UTA,-115.0,1.87,49.81,43.7,24.0,242.0,-1.5,1.0
2023-11-01,SPREAD,GSW,SAC,SAC,-115.0,1.87,26.75,34.68,-1.0,203.0,7.5,1.0
2023-11-01,SPREAD,GSW,SAC,GSW,-105.0,1.95,73.25,65.32,1.0,203.0,-7.5,0.0
2023-11-01,SPREAD,LAL,LAC,LAC,-115.0,1.87,70.93,81.46,-5.0,255.0,3.5,0.0
2023-11-01,SPREAD,LAL,LAC,LAL,-105.0,1.95,29.07,18.54,5.0,255.0,-3.5,1.0
2023-11-02,SPREAD,PHI,TOR,TOR,-115.0,1.87,43.78,49.08,-15.0,213.0,7.5,0.0
2023-11-02,SPREAD,PHI,TOR,PHI,-105.0,1.95,56.22,50.92,15.0,213.0,-7.5,1.0
2023-11-02,SPREAD,NOP,DET,DET,-110.0,1.91,57.71,51.24,-9.0,241.0,4.5,0.0
